file_number,annotator_1_seconds,annotator_2_seconds,annotator_3_seconds,reviewer_seconds
W4CZ355768-I4CZ3559290191.jpg,1013,10479,742,429
W4CZ355864-I4CZ3582800006.jpg,898,7600,1349,765
W4CZ355901-I4CZ3560100078.jpg,8210,1213,4888,1044
W4CZ45232-I4CZ452420031.tif,1014,8005,721,279
W4CZ45311-I4CZ453210329.tif,196,165,160,114
W4CZ58520-I4CZ750040525.jpg,1954,983,9161,427
W4CZ58520-I4CZ750760345.jpg,9775,1061,576,284
W4CZ58520-I4CZ751130435.jpg,1427,564,14827,408
W4CZ58533-I4CZ587400006.jpg,1163,327,4309,238
W4CZ58741-I4CZ656520006.jpg,142922,7096,1301,45221
W4CZ58782-I2PD204690731.jpg,967,855,2193,213
W4CZ73908-I4CZ739270006.jpg,453,377,406,4311
W4CZ74180-I4CZ742310006.jpg,2024,3943,439,525
W4PD1207-I4PD12360006.jpg,714,3668,204,241
W4PD1207-I4PD12440723.jpg,35710,8989,2354,7268
W4PD1207-I4PD12491191.jpg,1107,594,1229,554
W4PD1386-I4PD14080371.jpg,670,1295,699,734
W4PD1494-I4PD15300381.jpg,176912,1479,1070,22073
W4PD1703-I4PD17560873.jpg,586,975,21900,530
W4PD1992-I2PD205930006.jpg,1589,293,6926,462
W4PD1992-I2PD205940006.jpg,774,2236,701,563
W4PD294-I4PD3590006.jpg,1463,31152,1623,930
W4PD294-I4PD3921151.jpg,75015,191372,3417,740
W4PD5012-I4PD50280006.jpg,389,496,2183,394
W4PD5013-I4PD50370006.jpg,816,1181,1720,777
W4PD913-I4PD9400006.jpg,321,1014,10069,328
W4PD973-I4PD10180006.jpg,1894,13958,8938,689
W4PD973-I4PD10240781.jpg,994,160207,10368,4451
W4PD973-I4PD10270615.jpg,685,715,7519,2635
W4PD973-I4PD10330241.jpg,39650,8899,1126,687
W4PD974-I4PD10640663.jpg,728,40198,664,735
W5CN41-I5CN60270006.jpg,17011,41671,1857,293820
W5CN93-I5CN61210006.tif,1619,2406,1182,357
W7489-I1KG154550711.jpg,167,111,200,46
W8CZ179-I8CZ7940006.jpg,1898,51340,80253,2445
W8CZ179-I8CZ7940431.jpg,3563,1940,422,16545
W8CZ208-I8CZ7580274.jpg,40355,618,55616,210
W8CZ217-I8CZ8030128.jpg,923,914,1357,2027
W8CZ217-I8CZ8040079.jpg,1135,39096,20173,1917
W8CZ235-I8CZ7831346.jpg,1707,2467,3105,80208
W8CZ248-I8CZ8080237.jpg,1196,1015,2027,775
W8LS15736-I8LS157630017.jpg,10268,827,4322,7426
W8LS15876-I8LS158800057.jpg,732,262,859,1330
W8LS15960-I8LS159620006.jpg,1576,344,3042,425
W8LS16198-I8LS162000022.jpg,626,1762,441,1440
W8LS16211-I8LS162130006.jpg,588,164,932,151
W8LS16265-I8LS162670006.jpg,423,469,653,4914
W8LS16277-I8LS162790080.jpg,588,430,3306,855
W8LS16283-I8LS162860343.jpg,5185,1319,1817,926
W8LS16284-I8LS162880006.jpg,678,962,39245,903
W8LS16298-I8LS163070007.jpg,521,34272,943,1332
W8LS16313-I8LS163240353.jpg,1853,166,866,273
W8LS16410-I8LS164200439.jpg,1988,1226,12288,950
W8LS16413-I8LS164270149.jpg,4026,2072,28422,754
W8LS16443-I8LS164570006.jpg,341,393,1657,699
W8LS16483-I8LS164940007.jpg,864,425,9093,471
W8LS16496-I8LS165120006.jpg,663,1746,1139,138
W8LS16503-I8LS165210011.jpg,1598,6915,2593,11775
W8LS16516-I8LS165400023.jpg,680,476,39631,784
W8LS16519-I8LS165430006.jpg,351,8248,1120,990
W8LS16528-I8LS165570006.jpg,759,113,2983,73
W8LS16551-I8LS165850007.jpg,8195,1184,145,489
W8LS16607-I8LS166500079.jpg,623,1140,13631,8276
W8LS16667-I8LS169810007.jpg,9282,1149,733,319
W8LS16909-I8LS169200511.jpg,1256,204,10675,33795
W8LS17090-I8LS170970329.jpg,7730,364,798,8754
W8LS17110-I8LS171150006.jpg,485,161,1127,8953
W8LS17165-I8LS171780007.jpg,330,159983,430,21179
W8LS17205-I8LS172130402.jpg,450,478,5909,511
W8LS17390-I8LS173980011.tif,1453,5069,354,284
W8LS17391-I8LS174030006.tif,24,50274,4105,1437
W8LS17438-I8LS176290201.jpg,942,5973,13090,6954
W8LS17635-I8LS176490006.tif,991,33625,19749,4432
W8LS17644-I8LS176590014.tif,793,697,6587,577
W8LS17647-I8LS176610006.tif,326,466,286,46861
W8LS17721-I8LS177360032.jpg,409,1321,567,406
W8LS17828-I8LS179020020.jpg,1783,4648,40126,1562
W8LS19252-I8LS192540013.jpg,2898,1742,37610,1409
W8LS19266-I8LS192680203.jpg,9791,1083,1604,7343
W8LS19281-I8LS192830006.jpg,9180,375,1182,8723
W8LS19350-I8LS193520007.jpg,960,1268,672,714
W8LS19392-I8LS193940006.jpg,179,312,203,111
W8LS19479-I8LS194810025.jpg,1715,1230,136,2025
W8LS19488-I8LS194900021.jpg,1491,372,8779,516
W8LS19491-I8LS194930007.jpg,582,484,883,489
W8LS19491-I8LS194930009.jpg,2824,3110,722,293
W8LS19509-I8LS195110006.jpg,599,344,443,132
W8LS19521-I8LS195230007.jpg,3954,560,978,335
W8LS19577-I8LS195790013.jpg,7636,914,339,234
W8LS19604-I8LS196060175.jpg,40007,2566,1464,12023
W8LS19643-I8LS196450023.jpg,869,1927,2260,1015
W8LS19655-I8LS196570037.jpg,2635,3382,9754,2604
W8LS19682-I8LS196840007.jpg,512,127,948,500
W8LS19682-I8LS196840025.jpg,1617,1312,202,225
W8LS19682-I8LS196840044.jpg,578,3398,969,742
W8LS19694-I8LS196960006.jpg,33426,1200,859,28318
W8LS19697-I8LS196990013.jpg,2801,3083,958,1173
W8LS19757-I8LS197590007.jpg,1126,707,2546,9316
W8LS19855-I8LS198570007.jpg,705,1200,15331,342224
W8LS19855-I8LS198570041.jpg,739,141,5608,660
W8LS19873-I8LS198750117.jpg,1052,633,940,416
W8LS19888-I8LS198900007.jpg,636,900,571,1130
W8LS19909-I8LS199110137.jpg,636,695,447,329
W8LS19918-I8LS199200097.jpg,1183,55593,4241,538
W8LS19957-I8LS199590096.jpg,1123,156,732,186
W8LS20147-I8LS201491300.jpg,1683,1295,525,88
W8LS20153-I8LS201550006.jpg,5216,4639,3208,834
W8LS20159-I8LS201610006.jpg,515,1319,685,280
W8LS20165-I8LS201670083.jpg,194311,11780,239,17277
W8LS20673-I3CN122090006.jpg,233,119,573,73
W8LS29201-I8LS292030006.jpg,531,127,1035,474
W8LS29225-I8LS292270151.jpg,7532,541,839,448
W8LS31324-I8LS313440015.jpg,3266,1099,890,1209
W8LS31330-I8LS313580006.jpg,407,612,1053,50405
W8LS31348-I8LS313900121.jpg,1344,771,1051,825
W8LS31392-I8LS314310163.jpg,675,899,623,128
W8LS32681-I8LS332650095.jpg,716,1081,86373,440
W8LS32687-I8LS332770122.jpg,855,582,512,132
W8LS32696-I8LS332950008.jpg,628,301,947,462
W8LS32728-I8LS334220007.jpg,9844,3191,42620,1575
W8LS43937-I8LS439391181.jpg,5370,44231,1480,307
W8LS67533-I8LS675390308.tif,807,953,982,243
W8LS73668-I8LS736700137.jpg,2714,1113,6818,288
W8LS73818-I8LS738200006.tif,383,731,14661,275
